fecha_hora,€/MWh
2023-03-23 00:59:59,142.856268294
2023-03-23 01:59:59,130.895229484
2023-03-23 02:59:59,124.189914598
2023-03-23 03:59:59,125.775221117
2023-03-23 04:59:59,125.651748598
2023-03-23 05:59:59,136.734715965
2023-03-23 06:59:59,146.192369661
2023-03-23 07:59:59,153.569863838
2023-03-23 08:59:59,173.320562648
2023-03-23 09:59:59,148.454271306
2023-03-23 10:59:59,163.641059749
2023-03-23 11:59:59,148.697928749
2023-03-23 12:59:59,143.420874787
2023-03-23 13:59:59,140.993919749
2023-03-23 14:59:59,111.595254901
2023-03-23 15:59:59,113.618117534
2023-03-23 16:59:59,119.266672167
2023-03-23 17:59:59,129.203011319
2023-03-23 18:59:59,216.362047281
2023-03-23 19:59:59,227.099139319
2023-03-23 20:59:59,235.512841838
2023-03-23 21:59:59,224.317568876
2023-03-23 22:59:59,170.754431104
2023-03-23 23:59:59,163.962680218
2023-04-02 00:59:59,53.611272588
2023-04-02 01:59:59,54.089774044
2023-04-02 02:59:59,55.195560682
2023-04-02 03:59:59,55.634579046
2023-04-02 04:59:59,57.855075864
2023-04-02 05:59:59,59.0114775
2023-04-02 06:59:59,58.862869226
2023-04-02 07:59:59,58.450817042
2023-04-02 08:59:59,56.305930948
2023-04-02 09:59:59,54.854784126
2023-04-02 10:59:59,34.519983306
2023-04-02 11:59:59,33.32657476
2023-04-02 12:59:59,28.96647476
2023-04-02 13:59:59,27.266750032
2023-04-02 14:59:59,27.398462032
2023-04-02 15:59:59,28.254371852
2023-04-02 16:59:59,30.656776944
2023-04-02 17:59:59,35.544957672
2023-04-02 18:59:59,38.2848184
2023-04-02 19:59:59,53.638662946
2023-04-02 20:59:59,69.412075128
2023-04-02 21:59:59,80.259330036
2023-04-02 22:59:59,75.40050931
2023-04-02 23:59:59,66.215812948
2023-04-16 00:59:59,59.587534588
2023-04-16 01:59:59,58.502600044
2023-04-16 02:59:59,58.496949682
2023-04-16 03:59:59,61.664015046
2023-04-16 04:59:59,54.092815864
2023-04-16 05:59:59,59.2902275
2023-04-16 06:59:59,60.465096226
2023-04-16 07:59:59,62.324774042
2023-04-16 08:59:59,60.250216948
2023-04-16 09:59:59,41.713889126
2023-04-16 10:59:59,34.412330306
2023-04-16 11:59:59,29.73347476
2023-04-16 12:59:59,29.78067476
2023-04-16 13:59:59,29.475278032
2023-04-16 14:59:59,29.213030032
2023-04-16 15:59:59,30.457959852
2023-04-16 16:59:59,31.346944944
2023-04-16 17:59:59,31.732109672
2023-04-16 18:59:59,32.4732184
2023-04-16 19:59:59,53.199567946
2023-04-16 20:59:59,112.866843128
2023-04-16 21:59:59,170.176418036
2023-04-16 22:59:59,152.23974431
2023-04-16 23:59:59,86.649860948
2024-07-23 00:59:59,132.5155835859
2024-07-23 01:59:59,130.5986795859
2024-07-23 02:59:59,126.1943691087
2024-07-23 03:59:59,125.0332041087
2024-07-23 04:59:59,127.8760161087
2024-07-23 05:59:59,132.7173015859
2024-07-23 06:59:59,135.1182169719
2024-07-23 07:59:59,136.3968959263
2024-07-23 08:59:59,156.9557359931
2024-07-23 09:59:59,145.6951914703
2024-07-23 10:59:59,173.5978796527
2024-07-23 11:59:59,166.9298106983
2024-07-23 12:59:59,171.7955512211
2024-07-23 13:59:59,173.7722236527
2024-07-23 14:59:59,126.0160416527
2024-07-23 15:59:59,122.1020636071
2024-07-23 16:59:59,122.0107176527
2024-07-23 17:59:59,133.1982126983
2024-07-23 18:59:59,189.7707816983
2024-07-23 19:59:59,207.8533222667
2024-07-23 20:59:59,212.1111142667
2024-07-23 21:59:59,229.4625347439
2024-07-23 22:59:59,166.5502218807
2024-07-23 23:59:59,162.1347443579
2022-12-11 00:59:59,330.775013665
2022-12-11 01:59:59,292.247708518
2022-12-11 02:59:59,276.586001667
2022-12-11 03:59:59,280.751978322
2022-12-11 04:59:59,284.459014982
2022-12-11 05:59:59,287.584177295
2022-12-11 06:59:59,287.69521125
2022-12-11 07:59:59,288.230932182
2022-12-11 08:59:59,300.220118768
2022-12-11 09:59:59,305.678531308
2022-12-11 10:59:59,298.745167301
2022-12-11 11:59:59,286.013967823
2022-12-11 12:59:59,269.045466202
2022-12-11 13:59:59,272.524421044
2022-12-11 14:59:59,278.788387821
2022-12-11 15:59:59,270.851896411
2022-12-11 16:59:59,284.700796864
2022-12-11 17:59:59,296.905935341
2022-12-11 18:59:59,311.176159503
2022-12-11 19:59:59,311.896399762
2022-12-11 20:59:59,314.931772823
2022-12-11 21:59:59,312.128985313
2022-12-11 22:59:59,297.192044059
2022-12-11 23:59:59,280.489312423
2022-12-05 00:59:59,385.403370652
2022-12-05 01:59:59,335.595565459
2022-12-05 02:59:59,320.648376352
2022-12-05 03:59:59,321.78479875
2022-12-05 04:59:59,315.359775581
2022-12-05 05:59:59,314.449944805
2022-12-05 06:59:59,299.996367275
2022-12-05 07:59:59,359.475541345
2022-12-05 08:59:59,383.559308071
2022-12-05 09:59:59,380.483338014
2022-12-05 10:59:59,418.766797559
2022-12-05 11:59:59,414.86015622
2022-12-05 12:59:59,406.380741189
2022-12-05 13:59:59,407.892367491
2022-12-05 14:59:59,365.562094575
2022-12-05 15:59:59,358.634329221
2022-12-05 16:59:59,362.446396117
2022-12-05 17:59:59,372.126615974
2022-12-05 18:59:59,436.947573687
2022-12-05 19:59:59,443.345214633
2022-12-05 20:59:59,450.2257908
2022-12-05 21:59:59,450.637242516
2022-12-05 22:59:59,389.800322745
2022-12-05 23:59:59,382.905048708
2024-05-26 00:59:59,118.6306877864
2024-05-26 01:59:59,114.8773413553
2024-05-26 02:59:59,109.5790484932
2024-05-26 03:59:59,111.7958052776
2024-05-26 04:59:59,115.3312752776
2024-05-26 05:59:59,120.9345252776
2024-05-26 06:59:59,120.9215629243
2024-05-26 07:59:59,109.3548315709
2024-05-26 08:59:59,90.3879948816
2024-05-26 09:59:59,55.1254135457
2024-05-26 10:59:59,41.7315773477
2024-05-26 11:59:59,41.8606685633
2024-05-26 12:59:59,41.3475125633
2024-05-26 13:59:59,41.2015934254
2024-05-26 14:59:59,41.4692894254
2024-05-26 15:59:59,42.0782754856
2024-05-26 16:59:59,42.3061021924
2024-05-26 17:59:59,44.1196593302
2024-05-26 18:59:59,50.0604202525
2024-05-26 19:59:59,69.3277081748
2024-05-26 20:59:59,88.6726585282
2024-05-26 21:59:59,90.4448509593
2024-05-26 22:59:59,99.6042378816
2024-05-26 23:59:59,78.4791695884
2024-02-07 00:59:59,83.9410204751
2024-02-07 01:59:59,82.5080871448
2024-02-07 02:59:59,81.8081984797
2024-02-07 03:59:59,77.1672738146
2024-02-07 04:59:59,63.1759398146
2024-02-07 05:59:59,81.9845624797
2024-02-07 06:59:59,91.2341588065
2024-02-07 07:59:59,113.7970564681
2024-02-07 08:59:59,143.9960671309
2024-02-07 09:59:59,136.5689017937
2024-02-07 10:59:59,182.8177797914
2024-02-07 11:59:59,175.7263704577
2024-02-07 12:59:59,158.8326224565
2024-02-07 13:59:59,153.2757717879
2024-02-07 14:59:59,96.9502204554
2024-02-07 15:59:59,90.4069704577
2024-02-07 16:59:59,101.7279337937
2024-02-07 17:59:59,105.2380737949
2024-02-07 18:59:59,173.805145796
2024-02-07 19:59:59,192.9117051298
2024-02-07 20:59:59,197.400953796
2024-02-07 21:59:59,186.6543124623
2024-02-07 22:59:59,125.7973764646
2024-02-07 23:59:59,109.874362467
2024-02-13 00:59:59,94.3600255068
2024-02-13 01:59:59,80.6025108775
2024-02-13 02:59:59,80.2975735578
2024-02-13 03:59:59,80.458308238
2024-02-13 04:59:59,79.9674548979
2024-02-13 05:59:59,82.3769508775
2024-02-13 06:59:59,91.2850861463
2024-02-13 07:59:59,104.3088101056
2024-02-13 08:59:59,156.6173620648
2024-02-13 09:59:59,131.2699470444
2024-02-13 10:59:59,178.7766633642
2024-02-13 11:59:59,177.5368830444
2024-02-13 12:59:59,174.6839690241
2024-02-13 13:59:59,173.4259656839
2024-02-13 14:59:59,123.9037640241
2024-02-13 15:59:59,125.2034573744
2024-02-13 16:59:59,132.6967650444
2024-02-13 17:59:59,134.3507673846
2024-02-13 18:59:59,205.7457180444
2024-02-13 19:59:59,211.4672707247
2024-02-13 20:59:59,200.8520857247
2024-02-13 21:59:59,190.8083720546
2024-02-13 22:59:59,135.9073754049
2024-02-13 23:59:59,132.5216574253
2023-11-23 00:59:59,66.981599402
2023-11-23 01:59:59,65.26346204
2023-11-23 02:59:59,62.918203132
2023-11-23 03:59:59,62.691471496
2023-11-23 04:59:59,60.363239314
2023-11-23 05:59:59,66.606798404
2023-11-23 06:59:59,68.493385492
2023-11-23 07:59:59,110.854348216
2023-11-23 08:59:59,150.105526214
2023-11-23 09:59:59,99.84208703
2023-11-23 10:59:59,121.61015703
2023-11-23 11:59:59,122.231392212
2023-11-23 12:59:59,122.76933203
2023-11-23 13:59:59,125.706512666
2023-11-23 14:59:59,83.172005304
2023-11-23 15:59:59,85.766347486
2023-11-23 16:59:59,116.298110032
2023-11-23 17:59:59,133.693222396
2023-11-23 18:59:59,215.555637304
2023-11-23 19:59:59,235.004800486
2023-11-23 20:59:59,210.676601304
2023-11-23 21:59:59,191.763401122
2023-11-23 22:59:59,132.93713476
2023-11-23 23:59:59,94.43670067
2022-10-14 00:59:59,303.605423548
2022-10-14 01:59:59,276.281908987
2022-10-14 02:59:59,269.228850575
2022-10-14 03:59:59,256.785352526
2022-10-14 04:59:59,255.877890697
2022-10-14 05:59:59,255.25069993
2022-10-14 06:59:59,255.286513198
2022-10-14 07:59:59,286.327740084
2022-10-14 08:59:59,315.720770672
2022-10-14 09:59:59,298.581798282
2022-10-14 10:59:59,284.562323403
2022-10-14 11:59:59,262.326290202
2022-10-14 12:59:59,259.043290761
2022-10-14 13:59:59,256.447906323
2022-10-14 14:59:59,209.277360195
2022-10-14 15:59:59,206.838985362
2022-10-14 16:59:59,212.058568929
2022-10-14 17:59:59,228.489648738
2022-10-14 18:59:59,313.846254056
2022-10-14 19:59:59,377.903745777
2022-10-14 20:59:59,384.288083889
2022-10-14 21:59:59,402.329793027
2022-10-14 22:59:59,339.454993891
2022-10-14 23:59:59,335.961584888
2022-10-28 00:59:59,127.353734748
2022-10-28 01:59:59,126.774836257
2022-10-28 02:59:59,125.417228325
2022-10-28 03:59:59,125.605269246
2022-10-28 04:59:59,126.553772677
2022-10-28 05:59:59,126.97573753
2022-10-28 06:59:59,147.948726978
2022-10-28 07:59:59,171.409572004
2022-10-28 08:59:59,205.800641072
2022-10-28 09:59:59,197.950097002
2022-10-28 10:59:59,240.954825963
2022-10-28 11:59:59,219.753664682
2022-10-28 12:59:59,210.365824981
2022-10-28 13:59:59,204.833848173
2022-10-28 14:59:59,161.006387445
2022-10-28 15:59:59,153.841633122
2022-10-28 16:59:59,167.006799849
2022-10-28 17:59:59,188.096286078
2022-10-28 18:59:59,241.278375816
